totalRound:1000
                                            (K,Q)0,9 | 2,2        = PLAYER_WIN | (BET|-200,BALANCE|10000) BANKER_WIN
                                            (K,4)4,7 | (Q,K)0,J   = PLAYER_WIN | (BET|-200,BALANCE|9800) BANKER_WIN
                                            (3,9)2,7 | 1,2        = PLAYER_WIN | (BET|-200,BALANCE|9600) BANKER_WIN
                                            (2,3)5,J | 6,0        = BANKER_WIN | (BET|-200,WIN,BALANCE|9800) BANKER_WIN (HIT)
                                            (J,4)4,A | (4,8)2,4   = BANKER_WIN | (BET|-200,BALANCE|9600) PLAYER_WIN
                                            (J,J)0,K | (J,A)1,Q   = BANKER_WIN | (BET|-200,BALANCE|9400) PLAYER_WIN
                                                 1,6 | (9,4)3,6   = BANKER_WIN | (BET|-200,BALANCE|9200) PLAYER_WIN
                                                 0,0 | 7,1        = BANKER_WIN | (BET|-200,BALANCE|9000) PLAYER_WIN
                                            (4,K)4,J | 8,6        = TIE        | (BET|-200,BALANCE|8800) PLAYER_WIN
                                           (10,K)0,7 | (A,J)1,6   = TIE        | (BET|-200,BALANCE|8600) PLAYER_WIN
                                                 0,6 | (K,A)1,3   = PLAYER_WIN | (BET|-200,WIN,BALANCE|8800) PLAYER_WIN (HIT)
                                            (6,7)3,8 | 4,3        = BANKER_WIN | (BET|-200,WIN,BALANCE|9000) BANKER_WIN (HIT)
                                                 5,2 | (4,7)1,5   = PLAYER_WIN | (BET|-200,WIN,BALANCE|9200) PLAYER_WIN (HIT)
                                            (8,6)4,K | (K,2)2,10  = PLAYER_WIN | (BET|-200,BALANCE|9000) BANKER_WIN
                                                 8,9 | (3,Q)3,10  = PLAYER_WIN | (BET|-200,BALANCE|8800) BANKER_WIN
                                                 2,0 | 0,9        = BANKER_WIN | (BET|-200,WIN,BALANCE|9000) BANKER_WIN (HIT)
                                            (2,Q)2,8 | 4,0        = BANKER_WIN | (BET|-200,BALANCE|8800) PLAYER_WIN
                                            (4,J)4,Q | (3,10)3,10 = PLAYER_WIN | (BET|-200,WIN,BALANCE|9000) PLAYER_WIN (HIT)
                                            (A,K)1,6 | 3,4        = TIE        | (BET|-200,BALANCE|8800) BANKER_WIN
                                            (4,J)4,Q | (8,3)1,10  = PLAYER_WIN | (BET|-200,BALANCE|8600) BANKER_WIN
                                            (5,9)4,2 | (3,Q)3,8   = PLAYER_WIN | (BET|-200,BALANCE|8400) BANKER_WIN
                                            (A,9)0,J | 7,0        = BANKER_WIN | (BET|-200,WIN,BALANCE|8600) BANKER_WIN (HIT)
                                                 0,5 | 0,9        = BANKER_WIN | (BET|-200,BALANCE|8400) PLAYER_WIN
                                                 7,9 | 1,8        = BANKER_WIN | (BET|-200,BALANCE|8200) PLAYER_WIN
                                           (4,10)4,2 | (2,9)1,K   = PLAYER_WIN | (BET|-200,WIN,BALANCE|8400) PLAYER_WIN (HIT)
                                                 6,3 | 9,7        = PLAYER_WIN | (BET|-200,BALANCE|8200) BANKER_WIN
                                                 0,7 | (4,7)1,6   = TIE        | (BET|-200,BALANCE|8000) BANKER_WIN
                                            (2,9)1,5 | (3,A)4,9   = PLAYER_WIN | (BET|-200,BALANCE|7800) BANKER_WIN
                                            (K,Q)0,3 | 5,2        = BANKER_WIN | (BET|-200,WIN,BALANCE|8000) BANKER_WIN (HIT)
                                                 2,8 | 8,1        = BANKER_WIN | (BET|-200,BALANCE|7800) PLAYER_WIN
                                                 6,0 | (6,6)2,A   = PLAYER_WIN | (BET|-200,WIN,BALANCE|8000) PLAYER_WIN (HIT)
                                                 7,1 | 5,0        = PLAYER_WIN | (BET|-200,BALANCE|7800) BANKER_WIN
                                            (7,8)5,6 | 6,0        = BANKER_WIN | (BET|-200,WIN,BALANCE|8000) BANKER_WIN (HIT)
                                            (3,2)5,Q | 5,0        = TIE        | (BET|-200,BALANCE|7800) PLAYER_WIN
                                            (K,A)1,2 | (2,Q)2,2   = BANKER_WIN | (BET|-200,BALANCE|7600) PLAYER_WIN
                                            (J,3)3,K | 0,5        = BANKER_WIN | (BET|-200,BALANCE|7400) PLAYER_WIN
                                           (10,2)2,3 | (7,5)2,2   = PLAYER_WIN | (BET|-200,WIN,BALANCE|7600) PLAYER_WIN (HIT)
                                            (3,Q)3,2 | (10,A)1,4  = TIE        | (BET|-200,BALANCE|7400) BANKER_WIN
                                            (5,8)3,K | (A,Q)1,J   = PLAYER_WIN | (BET|-200,BALANCE|7200) BANKER_WIN
                                                 9,0 | 7,7        = PLAYER_WIN | (BET|-200,BALANCE|7000) BANKER_WIN
                                                 9,9 | 0,6        = PLAYER_WIN | (BET|-200,BALANCE|6800) BANKER_WIN
                                            (4,A)5,9 | 7,0        = BANKER_WIN | (BET|-200,WIN,BALANCE|7000) BANKER_WIN (HIT)
                                            (A,A)2,Q | (3,10)3,9  = TIE        | (BET|-200,BALANCE|6800) PLAYER_WIN
